Название,Жанр,Режиссер,Страна,Год
22 мили,англ.,Питер Берг,США,2018
20 дней в Мариуполе,укр.,Мстислав Чернов,Украина,2023
9 душ,яп.,Тосиаки Тоёда,Япония,2003
1 миля до тебя,драма,Лейф Тильден,США,2017
20 сантиметров,исп.,Рамон Саласар,Испания,2005
5 неизвестных,англ.,,США,2006
2-Асса-2,драма,Сергей Соловьёв,Россия,2008
13 убийц,боевик,Такаси Миикэ,Япония,2010
4.3.2.1,англ.,Ноэль Кларк,Великобритания,2010
12 разгневанных мужчин,англ.,Уильям Фридкин,США,Нет данных
2 секунды,фр.,Манон Брайан,Канада,1998
20 000 лье под водой,англ.,Ричард Флейшер,США,1954
32 декабря,комедия,Александр Муратов,Россия,2004
«Спартак». Действующие лица и… болельщики,документальный,Илья Гутман,СССР,1985
4 дня в мае,военная,Ахим фон Боррис,Германия,2011
14 амазонок,кит.,Чэн Ган,Гонконг,1972
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958
…которого любили все,документально,Леонид Осыка,СССР,1982
30 дней до рассвета,швед.,Андерс Банке,Швеция,2006
27 украденных поцелуев,англ.,Нана Джорджадзе,Грузия,2000
12 могил Ходжи Насреддина,комедия,Климентий Минц,СССР,1966
4 листа фанеры,укр.,Иван Гаврилюк,Украина,1992
"7 дней, 7 ночей",семейный фильм,,Россия,2024
13-й знак,англ.,Джонти Эктон,Великобритания,2000
2+1,фр.,Юго Желен,Франция,2016
"22 июня, ровно в 4 часа…",драма,Борис Галкин,Россия,1992
13 изгнаний дьявола,исп.,,Испания,2022
18 килогерц,англ.,Фархат Шарипов,Казахстан,2020
24 часа из жизни женщины,англ.,Нэнси Савока,США,1999
29-я улица,англ.,Джордж Галло,США,1991
